terme,chatgpt,equivalence,possession,but,autre_relation,texte,notes
Besoin en Fonds de Roulement (BFR),F,T,F,T,nécessité,"Le Besoin en Fonds de Roulement (BFR) est la somme nécessaire que l'entreprise doit posséder pour payer ses charges courantes en attendant de percevoir le paiement dû par ses clients. Le besoin en fonds de roulement démontre l'autonomie financière de l'entreprise à court terme puisque cet indicateur représente la somme d'argent nécessaire pour financer ses charges sans qu'elle n’ait besoin d'encaisser ses clients en même temps.",plusieurs phrases
Besoin en Fonds de Roulement (BFR),T,T,F,T,nécessité+démontre,"Le Besoin en Fonds de Roulement (BFR) est le montant nécessaire dont une entreprise doit disposer pour couvrir ses dépenses courantes en attendant de recevoir les paiements de ses clients. Il démontre l'autonomie financière de l'entreprise à court terme, car il représente les fonds requis pour financer les charges sans avoir besoin de percevoir l'argent des clients en même temps.",F
Besoin en Fonds de Roulement (BFR),T,T,F,T,nécessité+démontrer,"Le Besoin en Fonds de Roulement (BFR) est la somme nécessaire que l'entreprise doit avoir à sa disposition pour faire face à ses dépenses courantes tout en attendant les paiements de ses clients. Cet indicateur met en évidence la capacité de l'entreprise à gérer ses finances à court terme, car il représente les fonds nécessaires pour couvrir les charges sans dépendre immédiatement des recettes client.",F
compte de résultat,F,T,F,F,F,"Le compte de résultat est un tableau synthétisant l’ensemble des charges et des produits d’une entreprise ou autre organisme ayant une activité marchande, pour une période donnée, appelée exercice comptable. Ce document donne le résultat net, c’est-à-dire ce que l’entreprise a gagné (bénéfice) ou perdu (perte) au cours de la période.",résume + plusieurs phrases
compte de résultat,T,T,F,F,synthétiser+calcul,"Le compte de résultat est un document synthétisant l'ensemble des charges et des produits d'une entité commerciale pour une période déterminée, appelée exercice comptable. Ce document révèle le résultat net, c'est-à-dire les bénéfices ou les pertes accumulés par l'entreprise au cours de la période, offrant ainsi un résumé complet de sa performance financière.",plusieurs phrases
compte de résultat,T,T,F,F, synthétiser+calcul,"Le compte de résultat est un rapport qui récapitule toutes les charges et les produits d'une entreprise ou d'un organisme ayant une activité économique, pour une période donnée appelée exercice comptable. Il fournit le résultat net, c'est-à-dire le bénéfice ou la perte que l'entreprise a enregistré pendant cette période, offrant ainsi un aperçu global de sa performance financière.",plusieurs phrases
bilan comptable,F,T,T,F,F,"Le bilan comptable est un document qui synthétise à un moment le patrimoine d’une entreprise. Ce patrimoine comporte un actif (ses avoirs : terrains, machines, stocks...) et un passif (ses ressources : capital, réserves, crédits.). Le bilan est donc une « photographie » du patrimoine de l’entreprise à un moment donné de son histoire.",résume + plusieurs phrases
bilan comptable,T,T,T,F,synthétise,"Le bilan comptable est un document qui résume le patrimoine d'une entreprise à un moment donné. Ce patrimoine se compose d'un actif (les biens possédés tels que terrains, machines, stocks, etc.) et d'un passif (les ressources telles que le capital, les réserves, les dettes). Le bilan offre ainsi une vue instantanée de la situation financière de l'entreprise à un moment précis de son histoire.",plusieurs phrases
bilan comptable,T,T,T,F,synthétise,"Le bilan comptable est une présentation synthétique du patrimoine d'une entreprise à un moment spécifique. Il se divise en deux parties : l'actif, qui représente ce que l'entreprise possède, et le passif, qui indique les sources de financement. Le bilan fonctionne comme une 'photographie' du patrimoine de l'entreprise à un instant précis.", plusieurs phrases
Bilan,F,T,T,F,F,"Le Bilan est un tableau résumant l'ensemble des actifs et passifs d'une entreprise, c’est-à-dire ce qu'elle possède (actif) et les ressources dont elle dispose (passif). Il représente le patrimoine de l'entité.",résume
Bilan,T,T,T,F,synthétise,"Le Bilan est un tableau récapitulant la totalité des actifs et passifs d'une entreprise, c'est-à-dire ses biens (actif) et les ressources dont elle dispose (passif). Il constitue une représentation du patrimoine de l'entité sous forme de synthèse.",plusieurs phrases
Bilan,T,T,T,F,synthétise,"Le Bilan est un document qui synthétise l'ensemble des actifs et passifs d'une entreprise. Il illustre ce que l'entreprise possède (actif) et les sources de financement (passif), offrant ainsi un résumé du patrimoine de l'entreprise.",plusieurs phrases
emprunt bancaire,F,T,F,F,prêt,"L'emprunt bancaire est une forme classique d'endettement, dans lequel l'entité va emprunter une somme à une institution bancaire, selon un échéancier précis et à un taux d'intérêt fixé à l'avance. Ce taux peut être fixe ou variable.",plusieurs phrases
emprunt bancaire,F,T,F,F,prêt,"L'emprunt bancaire est une méthode traditionnelle de financement, où une entité emprunte une certaine somme d'argent à une institution bancaire. Le prêt est assorti d'un calendrier de remboursement préétabli et d'un taux d'intérêt convenu à l'avance, ce taux pouvant être soit fixe, soit variable.",plusieurs phrases
emprunt bancaire,T,T,F,F,prêt,"L'emprunt bancaire est une forme courante d'endettement où une entité emprunte une somme d'argent à une institution bancaire selon un calendrier de remboursement préétabli et à un taux d'intérêt convenu à l'avance, pouvant être fixe ou variable.",plusieurs phrases
emprunt bancaire,F,T,F,F,nécessité+prêt,"Un emprunt bancaire est une somme qu'une entité se voit prêter par une banque , et qu'elle devra rembourser selon un échéancier et un taux d'intérêt prévus par contrat lors de la négociation.",F
emprunt bancaire,T,T,F,F,prêt,"Un emprunt bancaire est une somme d'argent prêtée à une entité par une banque, avec un calendrier de remboursement et un taux d'intérêt fixés lors de la négociation du contrat.",F
emprunt bancaire,T,T,F,F,prêt,"Un emprunt bancaire désigne une somme d'argent que l'entité obtient sous forme de prêt de la part d'une banque. Selon les termes convenus lors de la négociation du contrat, l'entité est tenue de rembourser cette somme conformément à un calendrier de paiement défini et à un taux d'intérêt spécifié.",F


