terme,chatgpt,equivalence,possession,but,autre_relation,texte
BSPCE (bon de souscription de parts de créateur d’entreprise),T,T,F,F,comparaison+possibilité,"Un BSPCE, ou bon de souscription de parts de créateur d'entreprise, est un titre émis par une société à l'attention de ses dirigeants ou de son personnel, leur permettant d'obtenir des parts du capital de l'entreprise. Les BSPCE fonctionnent de manière similaire aux bons de souscription d'actions, bénéficiant d'un régime fiscal avantageux sous certaines conditions, et sont réservés aux entreprises innovantes ayant été créées depuis moins de 10 ans."
Boni de liquidation,F,T,F,F,circonstance,"Un Boni de liquidation est un ensemble des sommes d’argent redistribuées aux associés ou actionnaires d’une société dissoute, une fois les actifs vendus et dettes payées."
Boni de liquidation,T,T,F,F,circonstance,"Le boni de liquidation représente les montants d'argent qui sont répartis entre les associés ou actionnaires d'une société dissoute, une fois que les actifs ont été vendus et les dettes remboursées."
Boni de liquidation,T,T,F,F,circonstance,"Le boni de liquidation correspond aux sommes d'argent distribuées aux associés ou actionnaires d'une société après la vente des actifs et le remboursement des dettes lors de sa dissolution."
Boni de liquidation,T,T,F,F,circonstance,"Lorsqu'une société est dissoute, le boni de liquidation englobe les fonds qui sont répartis parmi les associés ou actionnaires une fois que les actifs ont été vendus et les dettes ont été acquittées."
Boni de liquidation,T,T,F,F,circonstance,"Le boni de liquidation désigne les sommes d'argent redistribuées aux associés ou actionnaires d'une société après la vente des actifs et le paiement des dettes lors de la dissolution de celle-ci."
Boni de liquidation,T,T,F,F,circonstance,"Lors de la dissolution d'une société, le boni de liquidation représente l'ensemble des montants d'argent qui sont versés aux associés ou actionnaires une fois que les actifs ont été liquidés et les dettes ont été réglées."
Build-up,F,T,F,F,F,"Un build-up est une stratégie de croissance externe d’une société qui consiste en des acquisitions successives de sociétés appartenant au même secteur."
Build-up,T,T,F,F,acquisition,"Un build-up est une stratégie de croissance externe où une société réalise des acquisitions successives de sociétés opérant dans le même secteur."
Build-up,T,T,F,F,acquisition,"Le build-up est une approche de croissance externe adoptée par une société qui consiste à effectuer des acquisitions successives de sociétés appartenant au même secteur d'activité."
Build-up,T,F,F,F,acquisition,"Dans le cadre d'un build-up, une entreprise met en œuvre une stratégie de croissance externe en procédant à des acquisitions successives de sociétés opérant dans le même secteur."
Build-up,T,T,F,T,acquisition,"Le build-up est une stratégie de développement externe où une entreprise acquiert de manière successive plusieurs sociétés du même secteur, dans le but de favoriser sa croissance."
Build-up,T,T,F,T,acquisition,"Un build-up est une stratégie de croissance externe qui implique qu'une entreprise procède à des acquisitions successives de sociétés opérant dans le même secteur, afin de renforcer sa position et d'accélérer son expansion."
Bulletin de souscription,F,T,F,F,obligation,"Un bulletin de souscription est un document par lequel une personne qui souhaite acquérir des actions dans une société s’engage à réaliser un apport en numéraire, et en indique le montant."
Bulletin de souscription,T,T,F,F,obligation,"Un bulletin de souscription est un formulaire par lequel une personne exprime son intention d'acquérir des actions dans une société et s'engage à effectuer un apport en numéraire, en précisant le montant correspondant."
Bulletin de souscription,T,T,F,F,obligation,"Le bulletin de souscription est un document par lequel une personne intéressée à acheter des actions d'une société déclare son intention de le faire et s'engage à effectuer un versement en espèces, en spécifiant le montant."
Bulletin de souscription,T,T,F,F,obligation,"Le bulletin de souscription est un formulaire utilisé par une personne désireuse d'acquérir des actions dans une société. Ce document atteste de son engagement à effectuer un apport en numéraire et précise le montant de cet apport."
Bulletin de souscription,T,T,F,F,obligation,"Un bulletin de souscription est un document par lequel une personne exprime sa volonté d'acquérir des actions dans une société et s'engage à réaliser un apport en espèces, en indiquant le montant correspondant."
Bulletin de souscription,T,T,F,F,obligation,"Le bulletin de souscription est un formulaire qui permet à une personne d'indiquer son souhait d'acquérir des actions dans une société. Ce document contient l'engagement de la personne à effectuer un apport en numéraire, avec le montant précisé."
Business Angel,F,T,F,F,investissement,"Un Business Angel est un particulier qui investit dans des entreprises, le plus souvent jeunes ( startups), innovantes à fort potentiel de croissance et développement."
Business Angel,T,T,F,F,investissement,"Un Business Angel est un individu qui investit dans des entreprises, généralement des start-ups, qui sont innovantes et ont un fort potentiel de croissance et de développement."
Business Angel,T,T,F,F,investissement,"Un Business Angel est une personne physique qui investit dans des entreprises, en particulier des start-ups, qui sont considérées comme innovantes et ayant un fort potentiel de croissance."
Business Angel,T,T,F,F,investissement,"Le terme Business Angel désigne un particulier qui investit dans des entreprises, en particulier des start-ups, qui présentent un fort potentiel de croissance et d'expansion, en raison de leur caractère innovant."
Business Angel,T,T,F,F,investissement,"Un Business Angel est un individu qui investit son propre capital dans des entreprises, principalement des start-ups, qui sont caractérisées par leur innovation et leur potentiel de croissance significatif."
Business Angel,T,T,F,F,investissement,"Dans le domaine des investissements, un Business Angel est un particulier qui choisit d'investir dans des entreprises, notamment des start-ups, qui sont considérées comme innovantes et prometteuses en termes de croissance et de développement."
Business Plan,F,T,F,F,description,"Un Business Plan est un document de présentation de la stratégie ou d’un projet d’investissement ou de l’évolution à moyen terme d’une entreprise."
Business Plan,T,T,F,F,description,"Un Business Plan est un dossier qui expose la stratégie ou le projet d'investissement d'une entreprise, ainsi que ses perspectives d'évolution à moyen terme."
Business Plan,T,T,F,F,description,"Le Business Plan est un document qui présente la stratégie ou le projet d'investissement d'une entreprise, ainsi que ses prévisions de développement à moyen terme."
Business Plan,T,T,F,F,description,"Un Business Plan est un rapport détaillé qui présente la stratégie ou le projet d'investissement d'une entreprise, ainsi que les projections de croissance à moyen terme."
Business Plan,T,T,F,F,description,"Le Business Plan est un document qui décrit la stratégie ou le projet d'investissement d'une entreprise, ainsi que les objectifs et les plans de développement à moyen terme."
Business Plan,T,T,F,F,description,"Un Business Plan est un dossier complet qui expose la stratégie ou le projet d'investissement d'une entreprise, en fournissant des informations détaillées sur les objectifs, les actions prévues et les projections de croissance à moyen terme."
